"QuizID"	"AppID"	"AppTitle"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Type"	"Note"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	1	"We'll begin with the basic virus model by turning off any immune response related component. Set all parameter values related to the immune response such that there is no __F__ and __A__ present at any time during the simulation. Set initial conditions to 10^5^ uninfected cells, no infected cells, and 10 virions. Set the infection rate to 10^-5^, no production or death of uninfected cells, lifespan of infected cells and virus of 1 day and 6 hours, respectively. The rate of virus production should be 100 per day. You should get a single acute viral infection with no immune response present and a maximum of 70217 infected cells."	"T1R1"	"Day at which the viral load peaks"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	2	"Let's explore different mechanisms for the innate response. Keep initial level of innate response at 0, but set innate production and removal rate to 1. Set all innate growth parameters (the _f~i~_) and all innate actions (_k~1~_, _k~2~_, _k~3~_) to 0. Run the simulation, confirm that you get an innate response that settles at a steady state (balance between production and removal), but that there is no further increase and that the rest of the dynamics doesn't change (i.e. you should get the same maximum number of infected cells as above)."	"T2R1"	"Maximum number of infected cells"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	2	"Let's explore different mechanisms for the innate response. Keep initial level of innate response at 0, but set innate production and removal rate to 1. Set all innate growth parameters (the _f~i~_) and all innate actions (_k~1~_, _k~2~_, _k~3~_) to 0. Run the simulation, confirm that you get an innate response that settles at a steady state (balance between production and removal), but that there is no further increase and that the rest of the dynamics doesn't change (i.e. you should get the same maximum number of infected cells as above)."	"T2R2"	"Value for innate response at steady state"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R1"	"Peak of **F** with _f~1~_ = 10^-5^ and _F~max~_ = 1000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R2"	"Day at which **F** peaks with _f~1~_ = 10^-5^ and _F~MAX~_ = 1000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R3"	"Peak of **F** with _f~1~_ = 10^-6^ and _F~max~_ = 1000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R4"	"Day at which **F** peaks with _f~1~_ = 10^-6^ and _F~max~_ = 1000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R5"	"Peak of **F** with _f~1~_ = 10^-5^ and _F~max~_ = 10000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	3	"Now, let's explore the different types of innate response induction by playing with the _f~i~_ parameters and the saturation parameter, _s~V~_. First, set _f~1~_ to 10^-5^ and _F~max~_ to 1000. Relate what you see in the plots to the equations so you get an idea of how different terms in the equations behave. Continue to keep the _k~i~_ at 0. This means the rest of the variables should not change. Make ten-fold changes to _f~1~_ and _F~max~_. Try to predict what will happen and then test your predictions by running the simulation."	"T3R6"	"Day at which **F** peaks with _f~1~_ = 10^-5^ and _F~max~_ = 10000"	"Rounded_Integer"	"Report the rounded integer"
"DSAIRM_modelvariants"	"modelvariants"	"Model Variant Exploration"	4	"Let's switch to the alternative innate response induction proceses. Set _f~1~_ back to zero. Then, set _f~2~_ to 3 and _s~V~_ to 10^5^. Play around with different values for _f~2~_ and _s~V~_, each time trying to predict how changes in the parameters will affect the model.  


Next, set _f~2~_ to zero and set _f~3~_ to 2. For any given value of _s~V~_, how does switching between innate response induction via _f~2~_ differ from _f~3~_? (*Hint: take another look at the model equations.*) Play around with different values for _f~3~_ and _s~V~_, again trying to predict the output and then running the simulation to confirm. Remember, each time you switch processes, 'turn off' the alternative ones."	"T4R1"	"Peak of **F** with _f~2~_ = 3 and _s~V~_ = 10^5^"	"Rounded_Integer"	"Report the rounded integer"
